"","IP1.bam","IP2.bam","IP3.bam","IP4.bam","Input1.bam","Input2.bam","Input3.bam","treated_IP1.bam","treated_Input1.bam"
"mod_1",240,116,271,123,23,1,3,117,0
"mod_2",75,50,66,38,13,0,3,23,0
"mod_3",14,6,12,10,9,1,3,0,3
"mod_4",56,21,36,5,30,0,3,1,1
"mod_5",75,25,49,4,24,0,2,2,3
"mod_6",198,190,87,36,245,21,7,85,12
"mod_7",155,176,84,27,137,11,6,82,8
"mod_8",138,176,81,28,127,7,6,76,7
"mod_9",7,23,11,1,10,0,0,0,0
"mod_10",79,42,104,66,24,0,5,148,0
"mod_11",757,250,1603,377,53,0,3,424,5
"mod_12",809,276,1607,402,62,0,2,479,6
"mod_13",823,277,1608,412,63,0,2,485,6
"mod_14",735,287,1425,422,60,0,2,488,6
"mod_15",656,263,1205,373,63,0,2,439,6
"mod_16",350,220,780,168,36,0,4,212,2
"mod_17",352,219,779,158,33,0,4,193,2
"mod_18",315,195,821,126,31,0,4,147,2
"mod_19",152,101,383,88,29,7,3,37,1
"mod_20",17,10,11,12,20,0,1,10,1
"mod_21",13,20,16,15,7,0,1,3,0
"mod_22",51,33,54,57,12,14,5,26,0
"mod_23",85,27,87,84,9,7,4,53,0
"mod_24",88,30,93,80,12,2,4,58,0
"mod_25",41,25,39,228,43,5,5,9,4
"mod_26",49,26,31,185,24,5,4,12,3
"mod_27",498,209,607,573,46,3,7,442,6
"mod_28",501,234,635,509,47,2,6,410,6
"mod_29",507,248,659,516,48,2,6,411,6
"mod_30",507,322,790,531,40,1,3,415,7
"mod_31",477,309,750,513,38,1,3,388,7
"mod_32",446,297,695,456,35,1,3,326,4
"mod_33",402,288,590,350,42,0,2,267,2
"mod_34",274,110,302,255,48,5,4,170,3
"mod_35",177,81,225,179,39,6,4,114,3
"mod_36",153,65,160,244,49,0,5,84,0
"mod_37",267,77,295,376,52,1,4,144,1
"mod_38",290,101,364,429,46,2,4,159,1
"mod_39",434,190,551,486,51,3,9,221,2
"mod_40",442,190,575,460,48,3,8,215,2
"mod_41",424,187,521,342,45,3,7,183,2
"mod_42",405,184,496,345,53,3,8,174,1
"mod_43",212,60,205,255,36,1,3,142,3
"mod_44",1222,348,3099,2528,50,7,3,1946,16
"mod_45",1078,344,2912,2142,37,5,3,1642,15
"mod_46",963,312,2592,1970,29,5,2,1520,15
"mod_47",87,75,135,118,34,1,1,78,3
"mod_48",104,78,147,107,33,1,1,79,2
"mod_49",141,85,170,97,30,0,2,31,0
"mod_50",15,10,34,36,6,0,0,5,0
"mod_51",27,52,17,9,4,0,0,4,2
"mod_52",7,20,13,15,18,1,3,8,1
"mod_53",13,25,14,17,18,0,2,15,1
"mod_54",100,46,54,14,60,0,4,9,0
"mod_55",51,27,68,12,91,0,2,10,0
"mod_56",119,136,135,55,36,1,0,71,1
"mod_57",304,210,435,51,45,0,2,124,0
"mod_58",326,219,463,49,46,0,2,127,0
"mod_59",368,204,299,64,64,0,1,118,0
"mod_60",126,97,64,33,163,4,5,31,6
"mod_61",0,0,0,0,0,0,1,0,0
"mod_62",0,0,0,0,0,0,3,0,0
"mod_63",0,0,0,0,0,0,3,0,0
"mod_64",17,16,27,50,8,0,2,27,0
"mod_65",32,20,35,111,5,0,2,91,0
"mod_66",33,20,35,113,6,0,2,97,0
"mod_67",60,23,70,190,14,0,4,192,3
"mod_68",78,36,85,168,18,0,3,163,3
"mod_69",81,37,86,172,18,0,3,163,3
"mod_70",338,173,340,220,65,0,3,308,2
"mod_71",537,441,552,483,91,1,1,728,5
"mod_72",499,428,520,448,106,5,1,674,15
"mod_73",501,429,517,448,109,5,0,676,15
"mod_74",471,423,495,435,108,5,0,650,15
"mod_75",451,410,476,418,96,5,0,621,14
"mod_76",42,33,17,33,95,65,8,20,24
"mod_77",86,34,77,47,55,20,7,52,15
"mod_78",46,54,43,53,67,35,6,37,21
"mod_79",76,73,40,33,58,12,1,28,2
"mod_80",75,73,39,33,56,12,1,28,2
"mod_81",10,3,9,3,12,9,5,1,1
"mod_82",8,9,6,4,12,1,1,4,0
