"","IP1.bam","IP2.bam","IP3.bam","IP4.bam","Input1.bam","Input2.bam","Input3.bam","treated_IP1.bam","treated_Input1.bam"
"mod_1",-12.4443882312444,-13.2504459700172,-12.0300558768568,-12.3968478722866,-14.3086853663759,-17.1852329737742,-16.6493398390843,-12.8113641625273,-16.9037961112821
"mod_2",-12.3241067523346,-12.831556707804,-12.0096914891524,-12.4168192457493,-14.3509187094988,-17.1056604170157,-16.8929804041939,-12.2212681992873,-16.4172846217961
"mod_3",-14.0972406706228,-14.9957048962386,-14.0715170851588,-13.0590517638223,-15.1855962313077,-17.5968616975167,-16.5627358908832,-13.1895587741191,-16.6131189531676
"mod_4",-12.5788953705384,-12.9546786478201,-12.5118893461081,-12.7330312078993,-14.2136862240841,-16.6728333944572,-16.9526467323861,-12.4315316066537,-16.1274610697021
"mod_5",-12.5788953705384,-12.9546786478201,-12.5118893461081,-12.7330312078993,-14.2136862240841,-16.6728333944572,-16.9526467323861,-12.4315316066537,-16.1274610697021
"mod_6",-12.3241067523346,-12.831556707804,-12.0096914891524,-12.4168192457493,-14.3509187094988,-17.1056604170157,-16.8929804041939,-12.2212681992873,-16.4172846217961
"mod_7",-12.7983349750121,-13.5900659578951,-12.6590205651675,-12.9566710666832,-14.219544350434,-17.4386011060837,-16.5440088822396,-13.5344784501376,-17.3084598967173
"mod_8",-12.3081581216352,-12.9834207285147,-11.8760557610584,-12.291429685373,-14.3568320767849,-17.1525863176556,-16.7785785224315,-12.3936129646506,-16.6357271840449
"mod_9",-12.558574485187,-12.8411624523404,-12.1133030905549,-14.2623209724073,-14.3531611200985,-18.1664753828818,-17.0580536873232,-13.3279758981621,-18.1655373507795
"mod_10",-12.3241067523346,-12.831556707804,-12.0096914891524,-12.4168192457493,-14.3509187094988,-17.1056604170157,-16.8929804041939,-12.2212681992873,-16.4172846217961
"mod_11",-12.3096986725711,-12.8479180705664,-11.9659491907192,-12.3817692480339,-14.3577931472456,-17.1276679856023,-16.8739640771133,-12.2345741254966,-16.4589343018839
"mod_12",-12.4688061597313,-12.8705167717806,-12.3156550969104,-12.6196954390718,-14.2730525854408,-16.8612701058007,-16.9475098714398,-12.3085619319926,-16.2189627344961
"mod_13",-12.7079793847641,-13.0731534005962,-12.7280305502637,-12.8503263149338,-14.1462351616966,-16.4553559867871,-16.945629540486,-12.5939733055316,-16.0426985399373
"mod_14",-13.2499248144113,-13.6714029355302,-13.5551575936231,-13.25377955506,-13.9037705292253,-15.6190737375957,-16.8518141055528,-13.3382912703741,-15.8146947058674
"mod_15",-13.0046372195091,-13.3866164784668,-13.1932497976838,-13.0848772139123,-14.0036914293925,-15.9786401049592,-16.9029265849614,-12.9970432319722,-15.8982897328698
"mod_16",-12.3549117441401,-12.8229074401725,-12.0860139724279,-12.4725785007458,-14.3349335298106,-17.0555086586356,-16.9159245836963,-12.2217053411394,-16.3568523129938
"mod_17",-12.2984048266181,-12.8867582243209,-11.9148976412919,-12.3364746474829,-14.3623901661736,-17.1457811859172,-16.841206574151,-12.274691634389,-16.5226380052343
"mod_18",-12.2984048266181,-12.8867582243209,-11.9148976412919,-12.3364746474829,-14.3623901661736,-17.1457811859172,-16.841206574151,-12.274691634389,-16.5226380052343
"mod_19",-14.1537006350452,-14.9463688528212,-14.4558794583983,-13.4157009548651,-14.4414482186559,-16.0854313418716,-16.5768104508489,-13.8938378557551,-16.1512959317559
"mod_20",-12.2984048266181,-12.8867582243209,-11.9148976412919,-12.3364746474829,-14.3623901661736,-17.1457811859172,-16.841206574151,-12.274691634389,-16.5226380052343
"mod_21",-13.6749278276449,-14.0403095636797,-14.1536188597096,-14.4197114498837,-14.0889891235165,-18.2212760631463,-16.6465866328941,-14.6519587700398,-18.1414688309241
"mod_22",-13.3217904560426,-13.7580558896082,-13.6577447876421,-13.2995134765848,-13.878646379655,-15.5218445053013,-16.8349881784947,-13.437312623382,-15.7955340080439
"mod_23",-13.4764937225039,-13.9490010589729,-13.8729806699705,-13.3919152882366,-13.8330686704757,-15.3292674503437,-16.7964266729171,-13.6462536534717,-15.762837831081
"mod_24",-12.3823354033332,-12.8272740369509,-12.1460238091115,-12.5132983408792,-14.320181121876,-17.0093258651946,-16.9282705609436,-12.23512166754,-16.3159788224753
"mod_25",-13.0046372195091,-13.3866164784668,-13.1932497976838,-13.0848772139123,-14.0036914293925,-15.9786401049592,-16.9029265849614,-12.9970432319722,-15.8982897328698
"mod_26",-12.5788953705384,-12.9546786478201,-12.5118893461081,-12.7330312078993,-14.2136862240841,-16.6728333944572,-16.9526467323861,-12.4315316066537,-16.1274610697021
"mod_27",-12.4443882312444,-13.2504459700172,-12.0300558768568,-12.3968478722866,-14.3086853663759,-17.1852329737742,-16.6493398390843,-12.8113641625273,-16.9037961112821
"mod_28",-12.3559561017294,-13.1088735379064,-11.909122841798,-12.3040866600855,-14.3377589679725,-17.1558216382637,-16.7122412703158,-12.5738859030405,-16.7612229541026
"mod_29",-12.3559561017294,-13.1088735379064,-11.909122841798,-12.3040866600855,-14.3377589679725,-17.1558216382637,-16.7122412703158,-12.5738859030405,-16.7612229541026
"mod_30",-12.3081581216352,-12.9834207285147,-11.8760557610584,-12.291429685373,-14.3568320767849,-17.1525863176556,-16.7785785224315,-12.3936129646506,-16.6357271840449
"mod_31",-12.3081581216352,-12.9834207285147,-11.8760557610584,-12.291429685373,-14.3568320767849,-17.1525863176556,-16.7785785224315,-12.3936129646506,-16.6357271840449
"mod_32",-12.3559561017294,-13.1088735379064,-11.909122841798,-12.3040866600855,-14.3377589679725,-17.1558216382637,-16.7122412703158,-12.5738859030405,-16.7612229541026
