"","IP1.bam","IP2.bam","IP3.bam","IP4.bam","Input1.bam","Input2.bam","Input3.bam"
"mod_1",-13.2215230311739,-13.3714367045069,-13.6386402456151,-13.6200692288424,-12.0378341594155,-12.9002937964599,-14.7251582300006
"mod_2",-13.8432425937492,-14.3418130771117,-13.6161155693258,-13.6458385514698,-12.3927502654761,-13.9288691872577,-15.2340957298998
"mod_3",-14.117489126711,-14.6275975780693,-13.3309375142436,-13.161980794271,-12.5222936169227,-14.4184030158714,-15.0780365020089
"mod_4",-13.28714955195,-12.6687234676748,-13.4552057327989,-13.4640027686809,-12.1155230395327,-15.2284088731606,-15.0380705850703
"mod_5",-12.393864528678,-13.2976436691141,-13.8706759275441,-14.4721066680855,-11.6679339608319,-15.6835793271993,-14.7391052151707
"mod_6",-13.7058293424866,-13.6435403549603,-14.3119651460569,-14.717430254165,-11.8182873338233,-16.5884979898128,-15.0783276107263
"mod_7",-13.1766262978209,-13.5690919766223,-13.4870312064131,-14.3521430338468,-11.4167033264284,-15.7503438736302,-14.6342016404556
"mod_8",-12.8130662231298,-13.705062421599,-13.58737468335,-14.6204430779271,-11.5488614559273,-16.085052414038,-15.1078086603426
"mod_9",-13.0021317573951,-13.5866017290771,-13.7143428444396,-14.7081406577173,-11.7679802250567,-16.1729761000665,-14.289339150548
"mod_10",-13.5353214955408,-13.4256713622645,-13.9373943989676,-15.3142526895015,-11.1330339468316,-15.7714747912862,-15.4525511840497
"mod_11",-13.2557748239516,-13.6169337355336,-13.8107990108669,-15.2124404138025,-11.5714494215754,-16.2959928013893,-14.6865548889552
"mod_12",-12.7605910345775,-13.2528534251105,-13.3599150832042,-14.4191977771818,-11.7116609905048,-15.3834839119149,-14.2292305387822
"mod_13",-12.6633065204695,-13.8589654568946,-13.6330690550931,-14.8622913375446,-11.6365360380953,-16.0025935936948,-15.019882071899
"mod_14",-12.59400237139,-13.2628338401515,-13.2560469673761,-14.1630150686933,-11.6711321016159,-15.8987770629821,-14.9145215562411
"mod_15",-12.0921566042663,-12.7616612128865,-12.4245541811896,-12.9850473948842,-12.6438119121309,-15.462210170402,-13.9866689016109
"mod_16",-13.3311358930451,-13.2705112712287,-14.1900840613284,-14.3119651460569,-12.0482837242244,-15.0052653218464,-14.410681311895
"mod_17",-11.9100696886915,-11.8086006637132,-12.4481073077971,-14.2474266249193,-11.7596204579081,-16.7261877815989,-14.4279724668875
"mod_18",-13.0772520576935,-13.62733146745,-13.6962270438826,-14.3902665673551,-11.6281772664787,-16.7435638810941,-14.5232826466918
"mod_19",-13.4098996923324,-13.7863904442899,-13.4747203035096,-13.9444229712924,-11.8879906803121,-16.8851166618157,-14.9377910838413
"mod_20",-12.5202056768288,-11.8086006637132,-12.6759563286986,-14.1138281251344,-11.5712781173613,-16.6568310660776,-14.883723862571
"mod_21",-13.1596496039162,-13.7692744601156,-13.9853487920896,-14.6422147511162,-11.6217215669018,-16.8355027166299,-14.5480957179504
"mod_22",-13.009169630796,-13.3435479187395,-12.3071203142955,-12.5153263729562,-12.9009725288567,-15.0639797326669,-14.900207740786
